model,model_display_name,n_train,metric,base_metric,aggregation,n_repeats,mean,sd,mcse,median,iqr,q05,q95,q10,q90
ridge_sgd_l2,L2 one-vs-rest logistic,240,crps_game_equal,crps,game_equal,100,0.01418595270504513,0.0002491870201170457,2.4918702011704574e-05,0.0141838819420336,0.00036292236677655,0.013776700891410046,0.0145515016472672,0.01386033660706822,0.0145051830120123
set_transformer,Set Transformer,240,crps_game_equal,crps,game_equal,100,0.0126430989897521,0.00026548492754171707,2.6548492754171705e-05,0.01267070420909095,0.0003436516401430761,0.01218533426165158,0.01307678071546586,0.01228601862263197,0.01300447985147541
zoo_cnn,Zoo CNN,240,crps_game_equal,crps,game_equal,100,0.013076011431900332,0.0003693701917318325,3.693701917318325e-05,0.0130838605708803,0.00042126125750450126,0.012556512375534684,0.013647082221942594,0.01265224026171642,0.013446477816943591
lightgbm_multiclass,LightGBM,360,crps_game_equal,crps,game_equal,100,0.013296088143171023,0.00027177284102469746,2.7177284102469747e-05,0.01332106396139885,0.0004010956625929759,0.012854797726211446,0.01373589636867584,0.01290875797003567,0.01360835682992808
ridge_sgd_l2,L2 one-vs-rest logistic,360,crps_game_equal,crps,game_equal,100,0.014184154456034407,0.0002501032499190426,2.501032499190426e-05,0.01417126447356435,0.000359244127858949,0.01378462445492596,0.01458159560479106,0.01382867438170725,0.01450160618977624
set_transformer,Set Transformer,360,crps_game_equal,crps,game_equal,100,0.01249615157557306,0.0002535860436329039,2.535860436329039e-05,0.0125011851277234,0.0003485425474320774,0.012096738993733931,0.012922242363598915,0.01216379502997371,0.01283653228288879
zoo_cnn,Zoo CNN,360,crps_game_equal,crps,game_equal,100,0.01291551701514304,0.00043713746503185985,4.371374650318599e-05,0.012892138618607552,0.0005401977453078511,0.0123675726203711,0.0136453431502182,0.012443838881167199,0.01342209085966561
lightgbm_multiclass,LightGBM,20,mean_q,mean_q,play,100,1.3902117070043485,0.26244347452145894,0.026244347452145895,1.4054612148570373,0.31777563940347453,0.9745856343438546,1.8441620675294352,1.0618405935604942,1.7056709902630856
ridge_sgd_l2,L2 one-vs-rest logistic,20,mean_q,mean_q,play,100,0.36855914726694666,0.16930714897489474,0.016930714897489475,0.3448415807038453,0.2223977971109764,0.133596653392801,0.6901768967031129,0.1705896566412637,0.5843048001900911
set_transformer,Set Transformer,20,mean_q,mean_q,play,100,0.39780696242561947,0.36496659426227457,0.03649665942622746,0.293664528484499,0.5259733530934879,0.0,1.019390888376104,0.005799093629293172,0.9259698012457558
zoo_cnn,Zoo CNN,20,mean_q,mean_q,play,100,2.689161810087725,1.4365056109810612,0.14365056109810612,2.946499445967982,2.0522646526136157,0.04182126975325891,4.682540081528224,0.20376769378911883,4.404485171990876
lightgbm_multiclass,LightGBM,40,mean_q,mean_q,play,100,2.003984859770909,0.215225462070342,0.0215225462070342,1.9985313315926891,0.25977337110070153,1.6787887603112914,2.3920497184932747,1.7421376021965103,2.3207914386178317
ridge_sgd_l2,L2 one-vs-rest logistic,40,mean_q,mean_q,play,100,0.34712970113407166,0.13612754755157588,0.013612754755157589,0.34801691752235997,0.20741779428595708,0.1358185601257358,0.5818016257026445,0.18819107144912844,0.49411903848710514
set_transformer,Set Transformer,40,mean_q,mean_q,play,100,0.3680660787354802,0.27182610516861627,0.027182610516861626,0.32269952439151645,0.3314747593885014,0.0007713972343676252,0.8555149139537906,0.03305727290968975,0.7935895757127879
zoo_cnn,Zoo CNN,40,mean_q,mean_q,play,100,1.8446087740223513,0.7732988148883867,0.07732988148883867,1.8861665299744579,1.1012259641593598,0.5083532555113311,2.866152320518357,0.8780573708974077,2.717461918689494
lightgbm_multiclass,LightGBM,80,mean_q,mean_q,play,100,2.274866885718537,0.19169828730383226,0.019169828730383226,2.255430401237766,0.2679358987061793,2.0129618368917033,2.596563374222332,2.0488151081561616,2.553166082255606
