metric,n_train,model_a,model_b,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
crps_game_equal,40,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-0.00121746068073481,0.0007472902804670825,7.472902804670825e-05,-0.00134154009800131,-0.00109338126346831,-0.0014858748007306952,-0.0009490465607389247,0.9,3.591832076661254,10000
crps_game_equal,40,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,0.00037235292128971704,0.00012808833894884688,1.2808833894884688e-05,0.0003510852467717598,0.00039362059580767426,0.0003263457408414443,0.0004183601017379898,0.9,3.591832076661254,10000
crps_game_equal,40,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,0.001589813602024527,0.0007582839840983858,7.582839840983857e-05,0.0014639087999298982,0.0017157184041191559,0.0013174507282942196,0.0018621764757548345,0.9,3.591832076661254,10000
coverage_game_equal,40,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,0.022380723064867637,0.0050626450758060534,0.0005062645075806053,0.021540125953875503,0.02322132017585977,0.020562305967264504,0.02419914016247077,0.9,3.591832076661254,10000
coverage_game_equal,40,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,0.015751766509760835,0.012220990036887454,0.0012220990036887454,0.013722604132258866,0.017780928887262803,0.01136219210745584,0.02014134091206583,0.9,3.591832076661254,10000
coverage_game_equal,40,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,0.01740871333863671,0.0062723522786043056,0.0006272352278604306,0.01636725751355495,0.01845016916371847,0.015155789727595686,0.019661636949677735,0.9,3.591832076661254,10000
coverage_game_equal,40,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-0.006628956555106806,0.012410623982140781,0.001241062398214078,-0.008689605585166698,-0.0045683075250469145,-0.011086644286150273,-0.002171268824063338,0.9,3.591832076661254,10000
coverage_game_equal,40,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,-0.004972009726230929,0.006400226634613041,0.0006400226634613041,-0.006034697696292517,-0.003909321756169341,-0.007270863658641411,-0.0026731557938204464,0.9,3.591832076661254,10000
coverage_game_equal,40,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,0.001656946828875877,0.012255080233042212,0.0012255080233042211,-0.00037787585464631526,0.0036917695123980694,-0.0027448721994339518,0.006058765857185706,0.9,3.591832076661254,10000
mean_width_game_equal,40,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,6.613398430305677,0.6466824573135626,0.06466824573135625,6.5060238470182,6.7207730135931545,6.3811209509463795,6.845675909664975,0.9,3.591832076661254,10000
mean_width_game_equal,40,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,3.541313282485005,3.4615131403986985,0.3461513140398699,2.966566702009545,4.116059862960465,2.297995889338157,4.784630675631853,0.9,3.591832076661254,10000
mean_width_game_equal,40,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,5.896751587844156,0.9024527587292288,0.09024527587292289,5.746909129912441,6.04659404577587,5.572605711196648,6.220897464491664,0.9,3.591832076661254,10000
