metric,model,n_train,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws,fixed_mean,tuned_mean,relative_change,significant_shift
mean_q,ridge_sgd_l2,160,tuned - fixed,20,-0.08088035947205086,0.06683968086931182,0.014945807001817345,-0.11216229303939801,-0.04959842590470371,-0.2030432557311054,0.04128253678700369,0.95,8.173723656688466,10000,0.34422837182931654,0.2633480123572657,-0.23496133988675075,False
crps_game_equal,ridge_sgd_l2,160,tuned - fixed,20,-0.00031272630642915596,2.272550378960161e-05,5.081577129647827e-06,-0.00032336216959583976,-0.00030209044326247217,-0.0003542617136270455,-0.0002711908992312664,0.95,8.173723656688466,10000,0.014162881114841064,0.013850154808411907,-0.02208069840404541,True
coverage_game_equal,ridge_sgd_l2,160,tuned - fixed,20,-0.009745019780003871,0.002313527930373356,0.0005173205720159224,-0.01082778418107344,-0.008662255378934303,-0.013973455177582025,-0.005516584382425717,0.95,8.173723656688466,10000,0.9392246561997745,0.9294796364197705,-0.010375600465423782,True
mean_width_game_equal,ridge_sgd_l2,160,tuned - fixed,20,-2.8944477512737046,0.20500593948478218,0.045840721647918116,-2.9903934843542306,-2.7985020181931786,-3.269137142246964,-2.519758360300445,0.95,8.173723656688466,10000,21.672611657562953,18.778163906289247,-0.13355325131125337,True
mean_width_inclusive_game_equal,ridge_sgd_l2,160,tuned - fixed,20,-2.8944477512737046,0.20500593948478218,0.045840721647918116,-2.9903934843542306,-2.7985020181931786,-3.269137142246964,-2.519758360300445,0.95,8.173723656688466,10000,22.672611657562953,19.778163906289247,-0.12766274106354206,True
crps,set_transformer,160,tuned - fixed,20,-7.65339443561326e-05,0.0001222074087944262,2.7326407341844258e-05,-0.0001337287722431712,-1.9339116469093998e-05,-0.0002998924464984704,0.0001468245577862052,0.95,8.173723656688466,10000,0.012875182212789351,0.012798648268433221,-0.005944299901255677,False
coverage,set_transformer,160,tuned - fixed,20,0.0023311057797830103,0.0036874177988123866,0.000824531685958714,0.0006053411274496222,0.004056870432116399,-0.004408388367426956,0.009070599926992976,0.95,8.173723656688466,10000,0.9222001462846194,0.9245312520644025,0.0025277655714701646,False
mean_width,set_transformer,160,tuned - fixed,20,0.07698315409400047,0.4247087558874842,0.09496776488037786,-0.12178666219401865,0.2757529703820196,-0.6992571123315722,0.8532234205195731,0.95,8.173723656688466,10000,14.541340856760243,14.618324010854243,0.005294089097582163,False
mean_width_inclusive,set_transformer,160,tuned - fixed,20,0.07698315409400047,0.42470875588748425,0.09496776488037788,-0.12178666219401868,0.2757529703820196,-0.6992571123315723,0.8532234205195732,0.95,8.173723656688466,10000,15.541340856760243,15.618324010854243,0.004953443515815689,False
mean_q,set_transformer,160,tuned - fixed,20,-0.1108118944658043,0.15920356156196286,0.03559899859126215,-0.18532145483016185,-0.03630233410144676,-0.4017882714056231,0.1801644824740145,0.95,8.173723656688466,10000,0.2762153550561379,0.16540346059033365,-0.40117934226822016,False
