task_id,metric,n_train,model_left,model_right,repeats,difference_mean,difference_sd,difference_q10,difference_q90,difference_mcse
bdb2023_sack,game_equal_loss,20,boosted_structure,relnet,100,0.0021629395829440273,0.0012992467199527643,0.000682037042758736,0.0035033786895070835,0.00012992467199527644
bdb2023_sack,game_equal_loss,20,boosted_structure,attn_relnet,100,0.0018232927184401997,0.0037751350943148977,0.000677666204164601,0.00350439588163603,0.0003775135094314898
bdb2023_sack,game_equal_loss,20,boosted_structure,set_transformer,100,0.00109373109283483,0.0054408168970719335,-0.00044390896122767153,0.0037008200255376268,0.0005440816897071933
bdb2023_sack,game_equal_loss,20,relnet,attn_relnet,100,-0.0003396468645038276,0.0036459216542728988,-2.1012046314879823e-05,1.4054625744895774e-05,0.0003645921654272899
bdb2023_sack,game_equal_loss,20,relnet,set_transformer,100,-0.0010692084901091977,0.005017689553055296,-0.001936304328099641,0.0010468466921426962,0.0005017689553055295
bdb2023_sack,game_equal_loss,20,attn_relnet,set_transformer,100,-0.0007295616256053701,0.005801885591911384,-0.0018025220316140683,0.0010596853195321114,0.0005801885591911384
bdb2023_sack,game_equal_loss,30,linear_structure,boosted_structure,100,-0.0020172619304613605,0.0008713900834444384,-0.0029317803488034685,-0.001360614680637468,8.713900834444384e-05
bdb2023_sack,game_equal_loss,30,linear_structure,relnet,100,-0.000261437213379235,0.001140044884906456,-0.001319360255549324,0.0007006662208001807,0.0001140044884906456
bdb2023_sack,game_equal_loss,30,linear_structure,attn_relnet,100,-0.0002655519110841021,0.0011575189084273416,-0.0015044318184728727,0.0007143647151800628,0.00011575189084273416
bdb2023_sack,game_equal_loss,30,linear_structure,set_transformer,100,-0.00032948149711855174,0.00129239081806388,-0.0014946498597037145,0.0007086841707158219,0.00012923908180638799
bdb2023_sack,game_equal_loss,30,boosted_structure,relnet,100,0.0017558247170821257,0.0012540236302103127,0.000777545230614684,0.0031494679452934355,0.00012540236302103128
bdb2023_sack,game_equal_loss,30,boosted_structure,attn_relnet,100,0.0017517100193772581,0.0012692995706393736,0.0006728831660043386,0.0031480671677041466,0.00012692995706393737
bdb2023_sack,game_equal_loss,30,boosted_structure,set_transformer,100,0.0016877804333428092,0.0013861146074105382,0.00036020103636210185,0.003037562523512865,0.00013861146074105383
