task_id,branch,ablation_id,model,n_train,metric,repeats,mean,sd,q10,q90,inferential_family
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,set_empty_rate,20,0.0,0.0,0.0,0.0,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,set_empty_rate,20,0.0,0.0,0.0,0.0,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,set_empty_rate,20,0.0,0.0,0.0,0.0,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,set_empty_rate,20,0.0,0.0,0.0,0.0,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,set_singleton_rate,20,0.19373728885668304,0.0887820151465069,0.09510250424177479,0.32986779319211784,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,set_singleton_rate,20,0.20691261120773247,0.08097535558626291,0.11633627036470638,0.3165336896301755,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,set_singleton_rate,20,0.19552829463111726,0.08462782930293197,0.09693099353476711,0.32523427631110396,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,set_singleton_rate,20,0.20804598233988628,0.07997597150033232,0.12277213728103716,0.32750622392089485,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,skill,20,-0.007902971861334129,0.009400860183412659,-0.01789173105620385,0.0005232098845775915,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,skill,20,-0.0022808865443660785,0.010908952583585554,-0.006310340104216649,0.0037098018719309476,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,skill,20,-0.007760266179089248,0.008822563290298782,-0.017954025211853852,0.0004060678178508086,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,skill,20,-0.0031383417916849175,0.010682821694987184,-0.011176835220795553,0.0036917262104667467,secondary_descriptive_only
