repeat,model,n_train,metric,contrast,value
3,lightgbm_multiclass,360,mean_width_game_equal,tuned - fixed,0.0
3,lightgbm_multiclass,360,mean_width_inclusive_game_equal,tuned - fixed,0.0
3,ridge_sgd_l2,360,crps,tuned - fixed,-0.0003423444954533724
3,ridge_sgd_l2,360,coverage,tuned - fixed,-0.006654763837039446
3,ridge_sgd_l2,360,mean_width,tuned - fixed,-2.8295731212465505
3,ridge_sgd_l2,360,mean_width_inclusive,tuned - fixed,-2.8295731212465505
3,ridge_sgd_l2,360,mean_q,tuned - fixed,-0.12351890926797598
3,ridge_sgd_l2,360,crps_game_equal,tuned - fixed,-0.0003388342241244374
3,ridge_sgd_l2,360,coverage_game_equal,tuned - fixed,-0.0065588365030182505
3,ridge_sgd_l2,360,mean_width_game_equal,tuned - fixed,-2.8080314178805743
3,ridge_sgd_l2,360,mean_width_inclusive_game_equal,tuned - fixed,-2.8080314178805743
3,set_transformer,360,crps,tuned - fixed,-3.558153549323116e-05
3,set_transformer,360,coverage,tuned - fixed,-0.0017854244440838052
3,set_transformer,360,mean_width,tuned - fixed,-0.2934588540821288
3,set_transformer,360,mean_width_inclusive,tuned - fixed,-0.2934588540821288
3,set_transformer,360,mean_q,tuned - fixed,0.0
3,set_transformer,360,crps_game_equal,tuned - fixed,-3.727436418186035e-05
3,set_transformer,360,coverage_game_equal,tuned - fixed,-0.001834063104509065
3,set_transformer,360,mean_width_game_equal,tuned - fixed,-0.28453065790705523
3,set_transformer,360,mean_width_inclusive_game_equal,tuned - fixed,-0.28453065790705523
3,zoo_cnn,360,crps,tuned - fixed,1.959849903893085e-10
3,zoo_cnn,360,coverage,tuned - fixed,0.0
3,zoo_cnn,360,mean_width,tuned - fixed,0.0
3,zoo_cnn,360,mean_width_inclusive,tuned - fixed,0.0
3,zoo_cnn,360,mean_q,tuned - fixed,0.0
3,zoo_cnn,360,crps_game_equal,tuned - fixed,-5.804420520616471e-10
3,zoo_cnn,360,coverage_game_equal,tuned - fixed,0.0
3,zoo_cnn,360,mean_width_game_equal,tuned - fixed,0.0
3,zoo_cnn,360,mean_width_inclusive_game_equal,tuned - fixed,0.0
4,lightgbm_multiclass,20,crps,tuned - fixed,0.0
4,lightgbm_multiclass,20,coverage,tuned - fixed,0.0
4,lightgbm_multiclass,20,mean_width,tuned - fixed,0.0
4,lightgbm_multiclass,20,mean_width_inclusive,tuned - fixed,0.0
4,lightgbm_multiclass,20,mean_q,tuned - fixed,0.0
4,lightgbm_multiclass,20,crps_game_equal,tuned - fixed,0.0
4,lightgbm_multiclass,20,coverage_game_equal,tuned - fixed,0.0
4,lightgbm_multiclass,20,mean_width_game_equal,tuned - fixed,0.0
4,lightgbm_multiclass,20,mean_width_inclusive_game_equal,tuned - fixed,0.0
4,ridge_sgd_l2,20,crps,tuned - fixed,-0.0002135948278170815
4,ridge_sgd_l2,20,coverage,tuned - fixed,-0.014655030462703778
4,ridge_sgd_l2,20,mean_width,tuned - fixed,-3.5017289642680716
4,ridge_sgd_l2,20,mean_width_inclusive,tuned - fixed,-3.5017289642680716
4,ridge_sgd_l2,20,mean_q,tuned - fixed,-0.13403589659147044
4,ridge_sgd_l2,20,crps_game_equal,tuned - fixed,-0.0001957019080764174
4,ridge_sgd_l2,20,coverage_game_equal,tuned - fixed,-0.014894796557931467
4,ridge_sgd_l2,20,mean_width_game_equal,tuned - fixed,-3.4563651463447336
4,ridge_sgd_l2,20,mean_width_inclusive_game_equal,tuned - fixed,-3.4563651463447336
4,set_transformer,20,crps,tuned - fixed,7.02378151487236e-05
4,set_transformer,20,coverage,tuned - fixed,-0.0021406224271365293
4,set_transformer,20,mean_width,tuned - fixed,-0.22311872221307638
4,set_transformer,20,mean_width_inclusive,tuned - fixed,-0.22311872221307638
4,set_transformer,20,mean_q,tuned - fixed,-0.0008233163181294253
4,set_transformer,20,crps_game_equal,tuned - fixed,8.200000872377565e-05
4,set_transformer,20,coverage_game_equal,tuned - fixed,-0.0027793473807019575
4,set_transformer,20,mean_width_game_equal,tuned - fixed,-0.21113747934960259
4,set_transformer,20,mean_width_inclusive_game_equal,tuned - fixed,-0.21113747934960259
4,zoo_cnn,20,crps,tuned - fixed,-0.00012728868480670757
4,zoo_cnn,20,coverage,tuned - fixed,0.0209122344804874
4,zoo_cnn,20,mean_width,tuned - fixed,7.608595422361269
4,zoo_cnn,20,mean_width_inclusive,tuned - fixed,7.608595422361269
4,zoo_cnn,20,mean_q,tuned - fixed,0.7021241561007738
4,zoo_cnn,20,crps_game_equal,tuned - fixed,-0.00010611558806400065
4,zoo_cnn,20,coverage_game_equal,tuned - fixed,0.021060261257888957
4,zoo_cnn,20,mean_width_game_equal,tuned - fixed,7.638247867787133
4,zoo_cnn,20,mean_width_inclusive_game_equal,tuned - fixed,7.638247867787133
4,lightgbm_multiclass,160,crps,tuned - fixed,0.0
4,lightgbm_multiclass,160,coverage,tuned - fixed,0.0
4,lightgbm_multiclass,160,mean_width,tuned - fixed,0.0
4,lightgbm_multiclass,160,mean_width_inclusive,tuned - fixed,0.0
4,lightgbm_multiclass,160,mean_q,tuned - fixed,0.0
4,lightgbm_multiclass,160,crps_game_equal,tuned - fixed,0.0
4,lightgbm_multiclass,160,coverage_game_equal,tuned - fixed,0.0
4,lightgbm_multiclass,160,mean_width_game_equal,tuned - fixed,0.0
4,lightgbm_multiclass,160,mean_width_inclusive_game_equal,tuned - fixed,0.0
4,ridge_sgd_l2,160,crps,tuned - fixed,-0.0003266186076226977
4,ridge_sgd_l2,160,coverage,tuned - fixed,-0.011691091717437763
4,ridge_sgd_l2,160,mean_width,tuned - fixed,-3.2573686810472573
4,ridge_sgd_l2,160,mean_width_inclusive,tuned - fixed,-3.2573686810472573
4,ridge_sgd_l2,160,mean_q,tuned - fixed,0.011855754981063726
4,ridge_sgd_l2,160,crps_game_equal,tuned - fixed,-0.00032416549757693924
4,ridge_sgd_l2,160,coverage_game_equal,tuned - fixed,-0.012116622827846868
4,ridge_sgd_l2,160,mean_width_game_equal,tuned - fixed,-3.2183713578211446
4,ridge_sgd_l2,160,mean_width_inclusive_game_equal,tuned - fixed,-3.2183713578211446
