metric,base_metric,aggregation,model,n_train,n_repeats,sd,bootstrap_lower,bootstrap_upper,bca_bias_correction,bca_acceleration,confidence,bootstrap_draws,interval_method
mean_q,mean_q,play,zoo_cnn,40,100,0.7732988148883867,0.6875332330551297,0.8845547295510117,0.09741101200999693,0.03698749913121661,0.95,10000,bca_repeat_block
mean_q,mean_q,play,zoo_cnn,80,100,0.45785821014227274,0.400234514628918,0.5264226368610263,0.07501849056945054,0.03772486210925935,0.95,10000,bca_repeat_block
mean_q,mean_q,play,zoo_cnn,160,100,0.4222932299287064,0.38020097929383734,0.5092028243520133,0.14894123912533586,0.08936592656495988,0.95,10000,bca_repeat_block
mean_q,mean_q,play,zoo_cnn,240,100,0.3682430851442187,0.3352908666219191,0.4068758475966999,0.10673401079978624,0.021701980287128064,0.95,10000,bca_repeat_block
mean_q,mean_q,play,zoo_cnn,360,100,0.44357421135194647,0.38492630360654667,0.5579014657685747,0.12465081188363734,0.10389387044220319,0.95,10000,bca_repeat_block
mean_q,mean_q,play,set_transformer,20,100,0.36496659426227457,0.31841009656318997,0.4381196057563837,0.10396137589283386,0.07789516801573998,0.95,10000,bca_repeat_block
mean_q,mean_q,play,set_transformer,40,100,0.27182610516861627,0.2369595034530959,0.3144956453718017,0.08054978767948894,0.045245600419793454,0.95,10000,bca_repeat_block
mean_q,mean_q,play,set_transformer,80,100,0.17038274035063442,0.15016686729175802,0.19910524273007377,0.1004337205114699,0.053564424454235336,0.95,10000,bca_repeat_block
mean_q,mean_q,play,set_transformer,160,100,0.21879836559707716,0.1905137480177854,0.25850131743020416,0.10396137589283386,0.06476217821599389,0.95,10000,bca_repeat_block
mean_q,mean_q,play,set_transformer,240,100,0.208120648163718,0.18183158274781677,0.24697020422937105,0.09161995038847483,0.07370465139286184,0.95,10000,bca_repeat_block
mean_q,mean_q,play,set_transformer,360,100,0.1812273436993829,0.14572515417622472,0.2284475042195729,0.09564817808473206,0.0694080478983929,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,ridge_sgd_l2,20,100,0.0002546166966265675,0.00022782588529697683,0.0002908400943899847,0.1334974257548597,0.03341994509789847,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,ridge_sgd_l2,40,100,0.0002510246255599379,0.0002239294436413413,0.00028873762465130676,0.1309687857971021,0.03981058569449492,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,ridge_sgd_l2,80,100,0.00025054148507502454,0.00022514703629668607,0.00028531952955357647,0.1388103690478696,0.03554451945556502,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,ridge_sgd_l2,160,100,0.0002511939441892604,0.0002241297523106796,0.0002880934118196794,0.13779808230586743,0.039135336039253954,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,ridge_sgd_l2,240,100,0.00024918702011704404,0.00022294716809435094,0.0002843917290093127,0.137291991946666,0.03327670178197546,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,ridge_sgd_l2,360,100,0.0002501032499190371,0.00022404131400802663,0.000285130178284711,0.1334974257548597,0.03473432523903315,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,lightgbm_multiclass,20,100,0.00027867853825714125,0.0002469775995726437,0.0003206424287925278,0.12995756514932058,0.030844882980644545,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,lightgbm_multiclass,40,100,0.00028411288952152604,0.00025426363487063817,0.0003222151862609899,0.1271773902812563,0.0285343245518978,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,lightgbm_multiclass,80,100,0.0002862452004916417,0.00025411402828378086,0.0003283195216813891,0.12566134685507413,0.03533013050414075,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,lightgbm_multiclass,160,100,0.00028075010979223695,0.0002503687111670086,0.00032200854742203943,0.13476206488943723,0.035499924320031365,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,lightgbm_multiclass,240,100,0.0002769503936246366,0.00024709422075034823,0.0003165172294781754,0.13906346291977786,0.03392675075327458,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,lightgbm_multiclass,360,100,0.0002717728410246963,0.00024327928394978098,0.00031064815894726264,0.1418480871615028,0.03314521541158898,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,zoo_cnn,20,100,0.0011876873275565557,0.0009009577256934467,0.001636145328324189,0.10018179346565421,0.09830222406298501,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,zoo_cnn,40,100,0.0007714100742436204,0.0005850106404820463,0.001065986520556486,0.1077424440226698,0.09823542809043032,0.95,10000,bca_repeat_block
