metric,base_metric,aggregation,n_train,model_a,model_a_display_name,model_b,model_b_display_name,mean_width_a,mean_width_b,width_mean_difference_a_minus_b,width_simultaneous_lower,width_simultaneous_upper,coverage_metric,coverage_target,coverage_lcb_a,coverage_lcb_b,coverage_qualified_a,coverage_qualified_b,both_coverage_qualified,sharper_model,sharper_model_display_name,sharper_at_controlled_coverage,sharpness_status
mean_width_game_equal,mean_width,game_equal,80,zoo_cnn,Zoo CNN,set_transformer,Set Transformer,16.629855406932972,15.308209900337303,1.3216455065956694,0.7410116148432015,1.9022793983481372,coverage_game_equal,0.9,0.918129734130231,0.9188305008287586,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,80,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,22.62954825091668,15.306110075079564,7.32343817583712,7.10115893009644,7.545717421577801,coverage_game_equal,0.9,0.936236178213115,0.9126102588474863,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,80,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,22.62954825091668,17.629855406932972,4.999692843983715,4.433058098374638,5.566327589592793,coverage_game_equal,0.9,0.936236178213115,0.918129734130231,True,True,True,zoo_cnn,Zoo CNN,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,80,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,22.62954825091668,16.308209900337303,6.321338350579383,6.019110128857489,6.623566572301278,coverage_game_equal,0.9,0.936236178213115,0.9188305008287586,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,80,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,15.306110075079564,17.629855406932972,-2.323745331853406,-2.85775017356795,-1.7897404901388616,coverage_game_equal,0.9,0.9126102588474863,0.918129734130231,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,80,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,15.306110075079564,16.308209900337303,-1.0020998252577373,-1.2759245430601633,-0.7282751074553113,coverage_game_equal,0.9,0.9126102588474863,0.9188305008287586,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,80,zoo_cnn,Zoo CNN,set_transformer,Set Transformer,17.629855406932972,16.308209900337303,1.3216455065956692,0.7410116148432012,1.9022793983481372,coverage_game_equal,0.9,0.918129734130231,0.9188305008287586,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width,mean_width,play,160,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,21.648846684907923,13.865484550986505,7.783362133921413,7.595941178895587,7.970783088947239,coverage,0.9,0.9363948279463141,0.9121154954131786,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width,mean_width,play,160,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,21.648846684907923,14.94636505165052,6.702481633257401,6.198888778474702,7.2060744880401,coverage,0.9,0.9363948279463141,0.9160073072045075,True,True,True,zoo_cnn,Zoo CNN,True,sharper_at_controlled_coverage
mean_width,mean_width,play,160,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,21.648846684907923,14.761510353136542,6.887336331771374,6.535233053316977,7.239439610225771,coverage,0.9,0.9363948279463141,0.9215041435592799,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width,mean_width,play,160,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,13.865484550986505,14.94636505165052,-1.0808805006640148,-1.555702378197072,-0.6060586231309575,coverage,0.9,0.9121154954131786,0.9160073072045075,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width,mean_width,play,160,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,13.865484550986505,14.761510353136542,-0.8960258021500355,-1.2211311239343914,-0.5709204803656796,coverage,0.9,0.9121154954131786,0.9215041435592799,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
