metric,n_train,model_a,model_b,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
coverage_game_equal,80,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,-0.0006400733780276979,0.009160600093024511,0.0009160600093024512,-0.0024577351770848233,0.0011775884210294273,-0.004238435077968659,0.0029582883219132633,0.95,3.9280851291401664,10000
mean_width_game_equal,80,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,7.32343817583712,0.5658717630423042,0.05658717630423042,7.211156941376256,7.435719410297985,7.10115893009644,7.545717421577801,0.95,3.9280851291401664,10000
mean_width_game_equal,80,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,4.9996928439837145,1.442521551800252,0.1442521551800252,4.713465272383847,5.285920415583582,4.433058098374638,5.566327589592791,0.95,3.9280851291401664,10000
mean_width_game_equal,80,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,6.321338350579383,0.7694034415900011,0.07694034415900011,6.168672015444183,6.474004685714584,6.019110128857489,6.623566572301278,0.95,3.9280851291401664,10000
mean_width_game_equal,80,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-2.3237453318534067,1.3594533319888478,0.13594533319888477,-2.59349036646513,-2.0540002972416835,-2.857750173567951,-1.7897404901388625,0.95,3.9280851291401664,10000
mean_width_game_equal,80,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,-1.0020998252577382,0.6970946626667548,0.06970946626667548,-1.1404185299046985,-0.863781120610778,-1.2759245430601642,-0.7282751074553122,0.95,3.9280851291401664,10000
mean_width_game_equal,80,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,1.3216455065956694,1.4781601535187834,0.14781601535187833,1.0283464632300048,1.614944549961334,0.7410116148432015,1.9022793983481372,0.95,3.9280851291401664,10000
mean_width_inclusive_game_equal,80,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,7.32343817583712,0.5658717630423041,0.056587176304230415,7.211156941376256,7.435719410297985,7.10115893009644,7.545717421577801,0.95,3.9280851291401664,10000
mean_width_inclusive_game_equal,80,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,4.999692843983715,1.4425215518002525,0.14425215518002527,4.713465272383848,5.285920415583583,4.433058098374638,5.566327589592793,0.95,3.9280851291401664,10000
mean_width_inclusive_game_equal,80,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,6.321338350579383,0.7694034415900012,0.07694034415900011,6.168672015444183,6.474004685714584,6.019110128857489,6.623566572301278,0.95,3.9280851291401664,10000
