model,model_display_name,n_train,metric,base_metric,aggregation,n_repeats,mean,sd,mcse,median,iqr,q10,q90
ridge_sgd_l2,L2 one-vs-rest logistic,240,mean_width,mean_width,play,100,21.61244221948263,0.3287673535127595,0.03287673535127595,21.611458414774575,0.4222316211010835,21.196823437729556,22.003576517917466
ridge_sgd_l2,L2 one-vs-rest logistic,240,mean_width_inclusive,mean_width_inclusive,play,100,22.61244221948263,0.3287673535127595,0.03287673535127595,22.611458414774575,0.4222316211010835,22.196823437729556,23.003576517917466
ridge_sgd_l2,L2 one-vs-rest logistic,240,mean_q,mean_q,play,100,0.3192165274893195,0.09056198582541149,0.009056198582541149,0.31680880767514885,0.10846817844986167,0.21390609728315585,0.42270117674772706
ridge_sgd_l2,L2 one-vs-rest logistic,240,crps_game_equal,crps,game_equal,100,0.014185952705045184,0.00024918702011704404,2.4918702011704404e-05,0.014183881942033665,0.0003629223667765205,0.0138603366070683,0.01450518301201232
ridge_sgd_l2,L2 one-vs-rest logistic,240,coverage_game_equal,coverage,game_equal,100,0.9370735045507159,0.004433727777256316,0.0004433727777256316,0.937540082503598,0.00605586742443176,0.9305347545980819,0.9417232036394256
ridge_sgd_l2,L2 one-vs-rest logistic,240,mean_width_game_equal,mean_width,game_equal,100,21.557506419473516,0.3297204009440515,0.032972040094405144,21.536661664693494,0.3921611433983827,21.154289412753364,21.954790331705446
ridge_sgd_l2,L2 one-vs-rest logistic,240,mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,100,22.557506419473516,0.3297204009440514,0.032972040094405144,22.536661664693494,0.3921611433983827,22.154289412753364,22.954790331705446
ridge_sgd_l2,L2 one-vs-rest logistic,360,crps,crps,play,100,0.014224898578795588,0.00025216690846998415,2.5216690846998413e-05,0.014212441872473645,0.00036132016683520715,0.013905264910904673,0.014534069929148508
ridge_sgd_l2,L2 one-vs-rest logistic,360,coverage,coverage,play,100,0.937220849668964,0.004299321750011625,0.0004299321750011625,0.9376504546984943,0.005932432267827803,0.9313927977968612,0.9424194713873444
ridge_sgd_l2,L2 one-vs-rest logistic,360,mean_width,mean_width,play,100,21.594451071720012,0.305476987509606,0.0305476987509606,21.57252726351239,0.402226814636947,21.223862897136076,21.96457001867162
